order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD00000205,1,credit_card,6,751.82
ORD00000206,1,credit_card,1,1834.7
ORD00000207,1,credit_card,3,965.26
ORD00000208,1,boleto,1,1076.46
ORD00000209,1,credit_card,4,368.33
ORD00000210,1,credit_card,1,2418.19
ORD00000211,1,boleto,1,430.82
ORD00000212,1,credit_card,1,1236.25
ORD00000213,1,credit_card,4,37.16
ORD00000214,1,credit_card,8,157.9
ORD00000215,1,credit_card,12,490.81
ORD00000216,1,credit_card,1,244.95
ORD00000217,1,voucher,1,1294.3
ORD00000218,1,credit_card,1,1018.76
ORD00000219,1,credit_card,6,1888.71
ORD00000220,1,boleto,1,1422.06
ORD00000221,1,credit_card,3,1599.24
ORD00000222,1,credit_card,6,2086.24
ORD00000223,1,credit_card,6,422.9
ORD00000224,1,credit_card,1,2104.57
ORD00000225,1,credit_card,1,1144.34
ORD00000226,1,boleto,1,319.66
ORD00000227,1,credit_card,1,787.18
ORD00000228,1,credit_card,1,2000.98
ORD00000229,1,credit_card,10,983.93
ORD00000230,1,credit_card,4,662.98
ORD00000231,1,credit_card,10,1702.25
ORD00000232,1,credit_card,4,635.97
ORD00000233,1,credit_card,3,3068.65
ORD00000234,1,credit_card,12,795.9
ORD00000235,1,credit_card,12,1584.43
ORD00000236,1,credit_card,3,1013.14
ORD00000237,1,credit_card,12,1043.4
ORD00000238,1,credit_card,4,43.82
ORD00000239,1,credit_card,5,870.95
ORD00000240,1,credit_card,2,285.89
ORD00000241,1,credit_card,1,1755.65
ORD00000242,1,boleto,1,1001.19
ORD00000243,1,credit_card,1,657.07
ORD00000244,1,credit_card,6,691.53
ORD00000245,1,credit_card,1,534.34
ORD00000246,1,credit_card,1,704.87
ORD00000247,1,credit_card,2,226.34
ORD00000248,1,credit_card,3,412.58
ORD00000249,1,credit_card,1,2925.87
ORD00000250,1,credit_card,1,1874.69
ORD00000251,1,credit_card,2,588.18
ORD00000252,1,credit_card,1,548.74
ORD00000253,1,credit_card,1,2088.51
ORD00000254,1,credit_card,10,1294.91
ORD00000255,1,credit_card,1,126.62
ORD00000256,1,credit_card,8,1198.74
ORD00000257,1,credit_card,4,642.98
ORD00000258,1,voucher,1,1343.76
ORD00000259,1,credit_card,1,232.54
ORD00000260,1,credit_card,5,877.14
ORD00000261,1,credit_card,2,757.64
ORD00000262,1,credit_card,10,1297.83
ORD00000263,1,credit_card,4,1386.01
ORD00000264,1,credit_card,3,599.3
ORD00000265,1,credit_card,2,377.44
ORD00000266,1,credit_card,6,2171.7
ORD00000267,1,credit_card,2,822.47
ORD00000268,1,credit_card,2,420.76
ORD00000269,1,voucher,1,294.02
ORD00000270,1,credit_card,1,493.65
ORD00000271,1,boleto,1,984.12
ORD00000272,1,boleto,1,53.72
ORD00000273,1,boleto,1,803.91
ORD00000274,1,credit_card,8,689.34
ORD00000275,1,credit_card,5,1151.5
ORD00000276,1,credit_card,3,806.15
ORD00000277,1,credit_card,12,884.63
ORD00000278,1,credit_card,2,1862.02
ORD00000279,1,credit_card,10,519.67
ORD00000280,1,credit_card,2,959.51
ORD00000281,1,credit_card,1,1453.24
ORD00000282,1,credit_card,5,1197.09
ORD00000283,1,credit_card,10,1004.82
ORD00000284,1,credit_card,1,765.15
ORD00000285,1,credit_card,4,211.16
ORD00000286,1,boleto,1,1189.59
ORD00000287,1,credit_card,1,277.67
ORD00000288,1,voucher,1,775.67
ORD00000289,1,credit_card,10,1973.09
ORD00000290,1,boleto,1,553.05
ORD00000291,1,credit_card,1,337.29
ORD00000292,1,voucher,1,1238.87
ORD00000293,1,credit_card,1,679.57
ORD00000294,1,boleto,1,637.43
ORD00000295,1,credit_card,1,1235.76
ORD00000296,1,credit_card,3,633.84
ORD00000297,1,credit_card,1,540.53
ORD00000298,1,credit_card,1,760.63
ORD00000299,1,credit_card,10,818.83
ORD00000300,1,boleto,1,695.06
ORD00000301,1,credit_card,6,344.42
ORD00000302,1,credit_card,1,207.96
ORD00000303,1,credit_card,1,895.44
ORD00000304,1,credit_card,1,1253.29
ORD00000305,1,credit_card,1,2284.89
ORD00000306,1,boleto,1,177.49
ORD00000307,1,credit_card,4,211.47
ORD00000308,1,credit_card,3,252.96
ORD00000309,1,credit_card,4,546.17
ORD00000310,1,credit_card,1,1501.2
ORD00000311,1,credit_card,2,228.93
ORD00000312,1,credit_card,3,2651.79
ORD00000313,1,credit_card,1,441.58
ORD00000314,1,voucher,1,483.49
ORD00000315,1,credit_card,12,615.42
ORD00000316,1,credit_card,10,547.42
ORD00000317,1,credit_card,5,676.32
ORD00000318,1,credit_card,1,257.89
ORD00000319,1,credit_card,12,258.88
ORD00000320,1,credit_card,4,915.93
ORD00000321,1,credit_card,1,1027.09
ORD00000322,1,credit_card,10,1005.39
ORD00000323,1,voucher,1,2858.54
ORD00000324,1,credit_card,10,2697.11
ORD00000325,1,boleto,1,1133.5
ORD00000326,1,credit_card,6,262.36
ORD00000327,1,credit_card,6,957.55
ORD00000328,1,credit_card,5,989.12
ORD00000329,1,credit_card,2,3536.25
ORD00000330,1,credit_card,6,719.47
ORD00000331,1,credit_card,8,982.48
ORD00000332,1,credit_card,3,644.57
ORD00000333,1,credit_card,6,2059.35
ORD00000334,1,credit_card,3,1242.23
ORD00000335,1,credit_card,4,1015.83
ORD00000336,1,boleto,1,1138.11
ORD00000337,1,credit_card,3,1778.42
ORD00000338,1,voucher,1,1584.77
ORD00000339,1,credit_card,4,1038.62
ORD00000340,1,credit_card,1,146.46
ORD00000341,1,credit_card,4,946.39
ORD00000342,1,credit_card,10,496.04
ORD00000343,1,boleto,1,807.64
ORD00000344,1,credit_card,6,1192.81
ORD00000345,1,credit_card,5,789.31
ORD00000346,1,credit_card,6,487.44
ORD00000347,1,credit_card,5,1786.25
ORD00000348,1,voucher,1,1012.29
ORD00000349,1,boleto,1,1318.89
ORD00000350,1,credit_card,1,930.91
ORD00000351,1,credit_card,8,1408.81
ORD00000352,1,boleto,1,1167.59
ORD00000353,1,credit_card,2,475.56
ORD00000354,1,boleto,1,956.67
ORD00000355,1,credit_card,5,1327.87
ORD00000356,1,credit_card,1,1331.61
ORD00000357,1,credit_card,1,375.79
ORD00000358,1,credit_card,1,1130.42
ORD00000359,1,credit_card,3,1678.24
ORD00000360,1,credit_card,2,910.72
ORD00000361,1,credit_card,1,992.25
ORD00000362,1,credit_card,2,307.51
ORD00000363,1,credit_card,2,702.99
ORD00000364,1,credit_card,2,405.06
ORD00000365,1,credit_card,4,1656.28
ORD00000366,1,credit_card,3,115.03
ORD00000367,1,voucher,1,1225.02
ORD00000368,1,credit_card,1,1075.0
ORD00000369,1,credit_card,1,1450.79
ORD00000370,1,credit_card,5,880.81
ORD00000371,1,credit_card,1,553.94
ORD00000372,1,boleto,1,714.93
ORD00000373,1,credit_card,2,3521.56
ORD00000374,1,credit_card,3,278.52
ORD00000375,1,credit_card,1,919.4
ORD00000376,1,credit_card,2,1072.67
ORD00000377,1,credit_card,10,1022.43
ORD00000378,1,credit_card,2,603.1
ORD00000379,1,credit_card,5,2148.98
ORD00000380,1,credit_card,4,1465.27
ORD00000381,1,credit_card,3,497.89
ORD00000382,1,credit_card,10,1486.15
ORD00000383,1,credit_card,2,1065.72
ORD00000384,1,credit_card,3,596.13
ORD00000385,1,credit_card,3,897.24
ORD00000386,1,credit_card,6,526.25
ORD00000387,1,boleto,1,673.63
ORD00000388,1,credit_card,3,93.77
ORD00000389,1,credit_card,4,419.74
ORD00000390,1,credit_card,1,82.73
ORD00000391,1,voucher,1,69.14
ORD00000392,1,credit_card,2,1083.32
ORD00000393,1,credit_card,2,1537.92
ORD00000394,1,boleto,1,1727.87
ORD00000395,1,credit_card,3,690.43
ORD00000396,1,credit_card,10,1101.74
ORD00000397,1,credit_card,2,1221.71
ORD00000398,1,boleto,1,635.9
ORD00000399,1,credit_card,4,965.97
ORD00000400,1,boleto,1,460.84
ORD00000401,1,credit_card,6,296.81
ORD00000402,1,boleto,1,550.97
ORD00000403,1,credit_card,1,907.64
ORD00000404,1,credit_card,1,950.34
ORD00000405,1,credit_card,4,1123.17
ORD00000406,1,credit_card,2,432.01
ORD00000407,1,credit_card,2,434.41
ORD00000408,1,credit_card,2,809.48
ORD00000409,1,credit_card,8,228.86
ORD00000410,1,credit_card,1,287.21
ORD00000411,1,debit_card,1,2761.28
ORD00000412,1,credit_card,12,831.63
ORD00000413,1,credit_card,6,856.11
ORD00000414,1,credit_card,4,1519.28
ORD00000415,1,boleto,1,1454.3
ORD00000416,1,boleto,1,790.7
ORD00000417,1,boleto,1,1203.54
ORD00000418,1,credit_card,2,1708.71
ORD00000419,1,boleto,1,115.61
ORD00000420,1,credit_card,10,1145.83
ORD00000421,1,credit_card,2,1107.68
ORD00000422,1,boleto,1,474.75
ORD00000423,1,credit_card,5,1147.59
ORD00000424,1,boleto,1,708.92
ORD00000425,1,credit_card,8,1161.72
ORD00000426,1,credit_card,4,798.17
ORD00000427,1,credit_card,12,2935.0
ORD00000428,1,credit_card,12,1168.66
ORD00000429,1,credit_card,1,1579.26
ORD00000430,1,credit_card,2,1544.79
ORD00000431,1,boleto,1,1771.96
ORD00000432,1,boleto,1,2371.46
ORD00000433,1,credit_card,8,699.93
ORD00000434,1,credit_card,1,589.99
ORD00000435,1,credit_card,1,1063.15
ORD00000436,1,credit_card,1,948.76
ORD00000437,1,credit_card,1,848.06
ORD00000438,1,credit_card,1,1044.51
ORD00000439,1,credit_card,1,305.13
ORD00000440,1,boleto,1,709.78
ORD00000441,1,credit_card,1,2450.05
ORD00000442,1,credit_card,1,1564.6
ORD00000443,1,credit_card,8,2290.91
ORD00000444,1,credit_card,10,645.28
ORD00000445,1,credit_card,4,926.94
ORD00000446,1,credit_card,10,1487.29
ORD00000447,1,credit_card,3,376.25
ORD00000448,1,credit_card,10,831.58
ORD00000449,1,credit_card,2,613.39
ORD00000450,1,credit_card,2,1158.58
ORD00000451,1,boleto,1,1597.91
ORD00000452,1,credit_card,1,584.59
ORD00000453,1,credit_card,4,1383.91
ORD00000454,1,credit_card,8,257.53
ORD00000455,1,credit_card,1,1546.46
ORD00000456,1,credit_card,10,670.68
ORD00000457,1,credit_card,1,2301.57
ORD00000458,1,credit_card,5,888.38
ORD00000459,1,credit_card,1,618.78
ORD00000460,1,credit_card,1,1251.19
ORD00000461,1,boleto,1,462.07
ORD00000462,1,credit_card,3,809.85
ORD00000463,1,credit_card,5,1209.17
ORD00000464,1,credit_card,12,543.16
ORD00000465,1,credit_card,2,1242.98
ORD00000466,1,credit_card,1,835.02
ORD00000467,1,credit_card,1,636.05
ORD00000468,1,credit_card,5,2849.31
ORD00000469,1,credit_card,2,792.36
ORD00000470,1,credit_card,5,1333.34
ORD00000471,1,credit_card,8,698.52
ORD00000472,1,boleto,1,593.3
ORD00000473,1,credit_card,5,2550.83
ORD00000474,1,credit_card,5,669.62
ORD00000475,1,voucher,1,549.61
ORD00000476,1,credit_card,1,2441.95
ORD00000477,1,credit_card,5,1288.82
ORD00000478,1,boleto,1,741.5
ORD00000479,1,boleto,1,2945.05
ORD00000480,1,credit_card,2,312.83
ORD00000481,1,credit_card,10,492.42
ORD00000482,1,credit_card,12,810.04
ORD00000483,1,credit_card,4,408.68
ORD00000484,1,credit_card,5,2348.67
ORD00000485,1,boleto,1,74.5
ORD00000486,1,credit_card,10,1169.35
ORD00000487,1,credit_card,10,907.69
ORD00000488,1,credit_card,4,1214.99
ORD00000489,1,credit_card,2,1014.24
ORD00000490,1,credit_card,2,772.17
ORD00000491,1,boleto,1,594.36
ORD00000492,1,credit_card,1,1334.63
ORD00000493,1,credit_card,2,154.93
ORD00000494,1,credit_card,12,1885.68
ORD00000495,1,boleto,1,726.33
ORD00000496,1,boleto,1,1083.77
ORD00000497,1,credit_card,1,116.76
ORD00000498,1,credit_card,1,2541.69
ORD00000499,1,boleto,1,195.57
ORD00000500,1,credit_card,6,2675.98
ORD00000501,1,credit_card,1,852.81
ORD00000502,1,voucher,1,1391.81
ORD00000503,1,boleto,1,129.73
ORD00000504,1,boleto,1,1235.53
ORD00000505,1,credit_card,2,1040.79
ORD00000506,1,credit_card,12,1136.46
ORD00000507,1,voucher,1,230.42
ORD00000508,1,credit_card,2,699.83
ORD00000509,1,credit_card,2,525.86
ORD00000510,1,credit_card,4,540.9
ORD00000511,1,credit_card,1,346.83
ORD00000512,1,boleto,1,601.3
ORD00000513,1,boleto,1,1140.99
ORD00000514,1,credit_card,6,649.8
ORD00000515,1,credit_card,6,206.49
ORD00000516,1,credit_card,5,1869.3
ORD00000517,1,boleto,1,1003.42
ORD00000518,1,credit_card,4,1492.13
ORD00000519,1,credit_card,5,565.32
ORD00000520,1,credit_card,3,1277.48
ORD00000521,1,credit_card,2,777.15
ORD00000522,1,credit_card,2,1069.55
ORD00000523,1,boleto,1,350.44
ORD00000524,1,debit_card,1,298.85
ORD00000525,1,credit_card,8,852.32
ORD00000526,1,credit_card,1,1055.63
ORD00000527,1,credit_card,8,1200.2
ORD00000528,1,credit_card,6,1111.41
ORD00000529,1,credit_card,2,110.78
ORD00000530,1,debit_card,1,1079.66
ORD00000531,1,credit_card,3,1806.48
ORD00000532,1,credit_card,1,169.66
ORD00000533,1,credit_card,2,1669.08
ORD00000534,1,boleto,1,513.69
ORD00000535,1,credit_card,1,1107.74
ORD00000536,1,credit_card,4,553.25
ORD00000537,1,credit_card,3,828.15
ORD00000538,1,credit_card,1,175.01
ORD00000539,1,credit_card,1,650.09
ORD00000540,1,credit_card,3,456.61
ORD00000541,1,credit_card,2,905.81
ORD00000542,1,boleto,1,308.3
ORD00000543,1,boleto,1,1207.34
ORD00000544,1,credit_card,10,1364.84
ORD00000545,1,debit_card,1,336.28
ORD00000546,1,credit_card,1,816.02
ORD00000547,1,boleto,1,472.63
ORD00000548,1,credit_card,3,2597.11
ORD00000549,1,credit_card,5,931.84
ORD00000550,1,credit_card,4,986.86
ORD00000551,1,credit_card,1,376.42
ORD00000552,1,credit_card,6,421.79
ORD00000553,1,credit_card,12,179.88
ORD00000554,1,credit_card,1,409.94
ORD00000555,1,credit_card,10,1957.62
ORD00000556,1,credit_card,1,481.58
ORD00000557,1,boleto,1,2091.34
ORD00000558,1,boleto,1,610.26
ORD00000559,1,credit_card,3,601.43
ORD00000560,1,credit_card,5,1829.8
ORD00000561,1,credit_card,4,177.85
ORD00000562,1,boleto,1,703.46
ORD00000563,1,credit_card,3,1353.97
ORD00000564,1,credit_card,5,459.87
ORD00000565,1,boleto,1,49.44
ORD00000566,1,boleto,1,214.32
ORD00000567,1,credit_card,6,606.29
ORD00000568,1,credit_card,3,521.91
ORD00000569,1,boleto,1,1049.28
ORD00000570,1,boleto,1,1204.54
ORD00000571,1,credit_card,8,578.07
ORD00000572,1,credit_card,6,1225.69
ORD00000573,1,credit_card,1,940.69
ORD00000574,1,credit_card,3,1318.24
ORD00000575,1,boleto,1,58.75
ORD00000576,1,credit_card,2,1137.33
ORD00000577,1,credit_card,8,1480.69
ORD00000578,1,credit_card,3,1084.47
ORD00000579,1,boleto,1,956.09
ORD00000580,1,credit_card,5,325.59
ORD00000581,1,credit_card,8,1139.34
ORD00000582,1,credit_card,2,133.35
ORD00000583,1,credit_card,2,793.88
ORD00000584,1,credit_card,10,689.11
ORD00000585,1,credit_card,2,449.13
ORD00000586,1,credit_card,3,580.38
ORD00000587,1,credit_card,6,124.95
ORD00000588,1,boleto,1,1197.88
ORD00000589,1,credit_card,2,1000.31
ORD00000590,1,credit_card,4,688.29
ORD00000591,1,credit_card,4,472.34
ORD00000592,1,credit_card,1,812.55
ORD00000593,1,credit_card,3,2764.67
ORD00000594,1,credit_card,8,2024.51
ORD00000595,1,credit_card,6,1520.34
ORD00000596,1,boleto,1,1732.43
ORD00000597,1,credit_card,1,934.26
ORD00000598,1,credit_card,6,347.98
ORD00000599,1,voucher,1,644.08
ORD00000600,1,credit_card,2,1419.02
ORD00000601,1,credit_card,10,2060.89
ORD00000602,1,credit_card,2,1454.03
ORD00000603,1,credit_card,2,1236.55
ORD00000604,1,credit_card,8,770.02
ORD00000605,1,credit_card,2,1223.38
ORD00000606,1,credit_card,1,882.15
ORD00000607,1,credit_card,5,1238.57
ORD00000608,1,credit_card,1,1278.19
ORD00000609,1,voucher,1,616.32
ORD00000610,1,credit_card,3,86.61
ORD00000611,1,credit_card,8,1142.1
ORD00000612,1,boleto,1,2952.48
ORD00000613,1,credit_card,5,1157.8
ORD00000614,1,credit_card,1,980.8
ORD00000615,1,credit_card,1,1036.1
ORD00000616,1,boleto,1,929.26
ORD00000617,1,credit_card,6,2258.15
ORD00000618,1,voucher,1,655.53
ORD00000619,1,credit_card,5,374.71
ORD00000620,1,credit_card,3,1206.31
ORD00000621,1,credit_card,8,979.57
ORD00000622,1,credit_card,3,393.0
ORD00000623,1,credit_card,4,388.33
ORD00000624,1,boleto,1,484.06
ORD00000625,1,credit_card,1,357.85
ORD00000626,1,credit_card,2,1685.86
ORD00000627,1,voucher,1,1151.54
ORD00000628,1,credit_card,12,1186.57
ORD00000629,1,voucher,1,1174.33
ORD00000630,1,credit_card,2,797.06
ORD00000631,1,credit_card,3,736.0
ORD00000632,1,boleto,1,1006.64
ORD00000633,1,boleto,1,267.31
ORD00000634,1,credit_card,1,258.03
ORD00000635,1,credit_card,6,556.63
ORD00000636,1,credit_card,4,1100.36
ORD00000637,1,credit_card,4,300.42
ORD00000638,1,boleto,1,435.03
ORD00000639,1,credit_card,1,823.48
ORD00000640,1,boleto,1,66.78
ORD00000641,1,credit_card,4,1134.51
ORD00000642,1,credit_card,4,317.65
ORD00000643,1,boleto,1,1246.54
ORD00000644,1,credit_card,4,541.6
ORD00000645,1,boleto,1,1930.06
ORD00000646,1,credit_card,2,499.13
ORD00000647,1,credit_card,2,528.26
ORD00000648,1,credit_card,1,392.41
ORD00000649,1,boleto,1,863.62
ORD00000650,1,credit_card,1,1541.76
ORD00000651,1,credit_card,3,297.82
ORD00000652,1,credit_card,4,440.36
ORD00000653,1,credit_card,12,899.75
ORD00000654,1,credit_card,1,458.74
ORD00000655,1,credit_card,1,583.32
ORD00000656,1,credit_card,3,843.78
ORD00000657,1,credit_card,3,1097.45
ORD00000658,1,boleto,1,552.41
ORD00000659,1,boleto,1,2051.43
ORD00000660,1,credit_card,1,778.48
ORD00000661,1,credit_card,2,1149.31
ORD00000662,1,credit_card,2,1086.81
ORD00000663,1,credit_card,10,792.22
ORD00000664,1,voucher,1,2704.97
ORD00000665,1,credit_card,1,1652.51
ORD00000666,1,credit_card,4,459.4
ORD00000667,1,boleto,1,1127.13
ORD00000668,1,credit_card,2,523.8
ORD00000669,1,credit_card,1,1250.92
ORD00000670,1,credit_card,3,2951.56
ORD00000671,1,credit_card,2,655.19
ORD00000672,1,credit_card,3,580.24
ORD00000673,1,credit_card,2,2152.89
ORD00000674,1,credit_card,1,975.9
ORD00000675,1,boleto,1,712.67
ORD00000676,1,credit_card,1,363.75
ORD00000677,1,credit_card,10,1619.02
ORD00000678,1,credit_card,5,3223.05
ORD00000679,1,credit_card,3,322.26
ORD00000680,1,credit_card,8,1174.68
ORD00000681,1,credit_card,6,202.82
ORD00000682,1,credit_card,6,959.93
ORD00000683,1,credit_card,1,1729.99
ORD00000684,1,credit_card,10,846.51
ORD00000685,1,boleto,1,1802.81
ORD00000686,1,credit_card,2,1226.9
ORD00000687,1,boleto,1,1215.22
ORD00000688,1,credit_card,1,1504.8
ORD00000689,1,credit_card,3,453.62
ORD00000690,1,credit_card,2,521.37
